Allocated,1stPref,2ndPref,3rdPref,4thPref,5thPref,CatchmentName,CatchmentCode,Year
8164063,8164063,,,,,Huntington School,8164063,2017
8164063,8164063,,,,,Huntington School,8164063,2017
8164063,8164063,,,,,Joseph Rowntree School,8164508,2017
8164229,8164229,,,,,Vale of York Academy,8164000,2017
8164702,8164702,8164602,8164229,8164000,,Vale of York Academy,8164000,2017
8164703,8164703,8164702,8164602,8164229,8164000,York High School,8164703,2017
8164153,8164153,,,,,Fulford School,8164153,2017
8164602,8164602,,,,,York High School,8164703,2017
8164508,8164063,8164508,,,,Vale of York Academy,8164000,2017
8164063,8164063,,,,,Huntington School,8164063,2017
8164500,8164500,8164153,8164229,8164703,8164702,Archbishop Holgates CE School,8164500,2017
8164153,8164153,,,,,,,2017
8164702,8164702,,,,,Archbishop Holgates CE School,8164500,2017
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2017
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2017
8164153,8164153,,,,,Fulford School,8164153,2017
8164153,8164153,,,,,,,2017
8164602,8164602,,,,,York High School,8164703,2017
8164153,8164153,8164500,,,,Fulford School,8164153,2017
8164153,8164153,8164500,8164702,8164602,,Fulford School,8164153,2017
8164153,8164153,,,,,Fulford School,8164153,2017
8164702,8164702,,,,,Archbishop Holgates CE School,8164500,2017
8164602,8164602,8164702,,,,Vale of York Academy,8164000,2017
8164000,8164000,,,,,Vale of York Academy,8164000,2017
8164508,8164508,8164602,8164063,,,Joseph Rowntree School,8164508,2017
8164702,8164702,8164229,8164153,,,Fulford School,8164153,2017
8164153,8164153,,,,,Fulford School,8164153,2017
8164153,8164153,,,,,Fulford School,8164153,2017
8164508,8164508,8164063,,,,Joseph Rowntree School,8164508,2017
8164500,8164500,8164063,8164508,,,Archbishop Holgates CE School,8164500,2017
8164063,8164063,8164508,8164000,8164500,8164702,Huntington School,8164063,2017
8164229,8164229,8164602,,,,Millthorpe School,8164229,2017
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2017
8164508,8164508,8164063,,,,Joseph Rowntree School,8164508,2017
8164703,8164703,8164229,,,,York High School,8164703,2017
8164063,8164063,,,,,Huntington School,8164063,2017
8164500,8164500,8164702,8164153,,,Archbishop Holgates CE School,8164500,2017
8164063,8164063,,,,,Huntington School,8164063,2017
8164063,8164063,,,,,Huntington School,8164063,2017
8164702,8164702,,,,,Archbishop Holgates CE School,8164500,2017
8164063,8164063,,,,,Huntington School,8164063,2017
8164153,8164153,,,,,Fulford School,8164153,2017
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2017
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2017
8164153,8164153,,,,,Fulford School,8164153,2017
8164702,8164702,,,,,York High School,8164703,2017
8164500,8164500,8164229,8164702,8164000,,Archbishop Holgates CE School,8164500,2017
8164703,8164703,8164153,8164508,8164063,,York High School,8164703,2017
8164000,8164508,,,,,Vale of York Academy,8164000,2017
8164229,8164229,8164703,,,,Millthorpe School,8164229,2017
8164602,8164602,8164702,8164063,8164508,,Vale of York Academy,8164000,2017
8164153,8164153,8164500,,,,,,2017
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2017
8164508,8164508,,,,,Joseph Rowntree School,8164508,2017
8164153,8164153,8164500,8164702,8164229,,Fulford School,8164153,2017
8164500,8164500,8164702,8164229,8164153,8164000,Archbishop Holgates CE School,8164500,2017
8164153,8164153,,,,,Fulford School,8164153,2017
8164000,8164000,,,,,Vale of York Academy,8164000,2017
8164153,8164153,8164702,8164229,,,Fulford School,8164153,2017
8164500,8164500,,,,,Joseph Rowntree School,8164508,2017
8164703,8164703,,,,,Fulford School,8164153,2017
8164703,8164703,,,,,Millthorpe School,8164229,2017
8164703,8164703,,,,,York High School,8164703,2017
8164063,8164063,8164702,,,,Huntington School,8164063,2017
8164153,8164153,,,,,Fulford School,8164153,2017
8164153,8164153,,,,,Fulford School,8164153,2017
8164153,8164153,,,,,Fulford School,8164153,2017
8164153,8164153,,,,,Fulford School,8164153,2017
8164153,8164153,,,,,Millthorpe School,8164229,2017
8164153,8164153,,,,,Fulford School,8164153,2017
8164153,8154215,8164153,8164702,,,Fulford School,8164153,2017
8164153,8154215,8164153,8164702,,,Millthorpe School,8164229,2017
8164153,8164153,8164500,,,,Fulford School,8164153,2017
8164153,8164153,,,,,Fulford School,8164153,2017
8164153,8164153,,,,,Fulford School,8164153,2017
8164602,8164602,8164508,,,,Joseph Rowntree School,8164508,2017
8164153,8164153,,,,,Fulford School,8164153,2017
8164702,8164702,8164602,8164229,,,Millthorpe School,8164229,2017
8164063,8164063,,,,,Huntington School,8164063,2017
8154077,8154077,8164500,,,,Archbishop Holgates CE School,8164500,2017
8164602,8164602,8164508,,,,Joseph Rowntree School,8164508,2017
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2017
,,8164508,,,,,,2017
8164602,8164602,,,,,,,2017
,,8164063,,,,,,2017
8164602,8164602,8164702,,,,,,2017
,,8164602,,,,,,2017
8164602,8164602,,,,,,,2017
,,,,8164602,,,,2017
8164500,8164500,8164153,,,,,,2017
,,8164153,,,,,,2017
8164500,8164500,,,,,,,2017
,,8164602,,,,,,2017
,,8164602,,,,,,2017
,,,8164602,,,,,2017
8164063,8164063,,,,,,,2017
8164063,8164063,,8164500,,,,,2017
,,8164063,8164602,8164508,,,,2017
8164602,8164602,8164702,8164063,,,,,2017
,8164063,,,,,,,2017
8164063,8164063,,,,,,,2017
8164500,8164153,8164500,,,,,,2017
8164153,8164153,,,,,,,2017
8164153,8164153,,,,,,,2017
8164153,8164153,,,,,,,2017
8164153,8164153,,,,,,,2017
8164153,8164153,,,,,,,2017
8164153,8164153,,,,,,,2017
8164153,8164153,,,,,,,2017
8164153,8164153,,,,,,,2017
,,,8164153,,,,,2017
8164602,8164602,,,,,,,2017
8164702,8164702,8164602,,,,,,2017
8164153,8164153,,,,,,,2017
,8164702,,,,,,,2017
,8164602,,,,,,,2017
8164702,8164702,8164602,,,,,,2017
8164702,8164702,8164602,,,,,,2017
8164602,8164602,,,,,,,2017
8164702,8164702,8164153,,,,,,2017
,8164153,,,,,,,2017
,,8164153,,,,,,2017
8164702,8164702,,,,,,,2017
,,8164702,,,,,,2017
,,8164702,,,,,,2017
8164702,8164702,,,,,,,2017
,,,8164702,,,,,2017
8164702,8164702,,,,,,,2017
,,8164702,,,,,,2017
8164702,8164702,,,,,,,2017
8164702,8164702,,,,,,,2017
8164702,8164702,,,,,,,2017
8164702,8164702,,,,,,,2017
8164702,8164702,,,,,,,2017
,,8164702,,,,,,2017
8164702,8164702,,,,,,,2017
8164153,8164153,8164702,,,,,,2017
8164153,8164153,,,,,,,2017
8164702,8164702,,,,,,,2017
8164702,8164702,,,,,,,2017
8164702,8164702,,,,,,,2017
,8164702,,,,,,,2017
8164500,8164500,8164063,,,,,,2017
,8164500,,,,,,,2017
8164153,8164153,,,,,,,2017
,,8164153,,,,,,2017
,,,8164063,,,,,2017
8164500,8164500,8164153,,,,,,2017
,,8164153,,,,,,2017
8164063,8164063,,,,,,,2017
,8164063,,,,,,,2017
8164153,8164153,,,,,,,2017
8164702,8164702,,,,,,,2017
,,8164702,,,,,,2017
8164702,8164702,,,,,,,2017
8164153,8164153,,,,,,,2017
8164153,8164153,,,,,,,2017
8164153,8164153,,,,,,,2017
8164500,8164500,8164063,,,,,,2017
,8164500,,,,,,,2017
,,8164702,,,,,,2017
8164500,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
,,8164500,,,,,,2017
8164500,8164500,,,,,,,2017
,8164500,,,,,,,2017
8164703,8164153,8164063,8164703,,,,,2017
8164500,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
,,8164500,,,,,,2017
,,8164500,,,,,,2017
8164500,8164500,,,,,,,2017
,8164702,,8164500,,,,,2017
,,8164500,,,,,,2017
8164500,8164500,,,,,,,2017
,,8164500,,,,,,2017
8164500,8164500,,,,,,,2017
8164702,8164702,,,,,,,2017
8164702,8164702,,,,,,,2017
8164702,8164702,,,,,,,2017
,,8164153,8164500,,,,,2017
8164500,8164500,,,,,,,2017
,,8164500,,,,,,2017
8164500,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
8164702,8164702,,,,,,,2017
,,8164702,,,,,,2017
8164500,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
8164702,8164702,,,,,,,2017
,8164500,,,,,,,2017
8164702,8164702,,,,,,,2017
8164500,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
,8164500,,,,,,,2017
,,8164500,,,,,,2017
8164500,8164500,,,,,,,2017
,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
8164702,8164702,,,,,,,2017
8164500,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
8164702,8164702,,,,,,,2017
8164500,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
,8164702,,,,,,,2017
8164500,8164500,,,,,,,2017
,8164500,,,,,,,2017
,,8164500,,,,,,2017
,,8164702,,,,,,2017
8164500,8164500,,,,,,,2017
8164702,8164702,,,,,,,2017
,,,,,8164702,,,2017
8164702,,8164702,,,,,,2017
8164500,8164500,8164153,,,,,,2017
8164602,8164602,,,,,,,2017
,,8164702,,,,,,2017
,8164602,,,,,,,2017
8164500,8164500,,,,,Archbishop Holgates CE School,8164500,2017
,8164500,,,,,,,2017
8164500,8164500,,,,,,,2017
8164153,8164153,,,,,,,2017
8164702,8164702,,,,,,,2017
,8164500,,8164602,,,,,2017
